response time (ns),attempts
3224955,1
2046581,1
2280037,1
2281251,1
84863598,4
14486349,2
15105527,2
2186502,1
2273620,1
3177242,1
2509895,1
3657724,1
3000561,1
38137173,3
2276482,1
2282521,1
2593492,1
2453378,1
22307029,2
63271436,4
3887518,1
4447051,1
4815273,1
5017857,1
4174876,1
15913819,2
2068013,1
2032474,1
2478449,1
2690388,1
3247754,1
4180670,1
3201499,1
17133190,2
17603727,2
2494101,1
2651755,1
2177880,1
2057367,1
2347122,1
2773942,1
2561475,1
30332647,3
2873504,1
63725709,4
2416751,1
2561278,1
3453424,1
3809844,1
3838046,1
2525779,1
2329935,1
2320345,1
2564192,1
2268324,1
2379600,1
3437511,1
27412518,3
2005658,1
1671677,1
2671073,1
3158167,1
3791236,1
3904609,1
14650165,2
2912943,1
3652562,1
2255657,1
3785026,1
14772813,2
15676607,2
19016585,2
28036855,3
2241415,1
2453621,1
2474492,1
2807721,1
1673729,1
1981009,1
2617144,1
2214300,1
1968726,1
2003561,1
2609038,1
14918147,2
3009495,1
3716720,1
2225206,1
2328446,1
2337464,1
3066410,1
45983719,4
47150694,4
2616803,1
2989268,1
3004760,1
3579314,1
3030382,1
15947422,2
2903727,1
14824200,2
3833425,1
4036420,1
4245589,1
4682104,1
3291196,1
32195772,3
22186955,2
23010797,2
22605687,2
2493817,1
2576737,1
2703356,1
17230867,2
17127225,2
17701530,2
37530900,3
1873589,1
14144630,2
2307275,1
2860960,1
3020537,1
20014981,2
20864713,2
14739544,2
14806998,2
2954707,1
2998738,1
3706400,1
4493151,1
4745285,1
1695436,1
1945701,1
2753696,1
111268630,6
1921389,1
2144486,1
1770969,1
16472541,2
58640032,4
1923967,1
32966507,3
33832777,3
35382834,3
44090707,4
2293461,1
44474626,4
63544754,5
3536432,1
4707141,1
4357441,1
5442056,1
15436349,2
20361275,2
18716550,2
32090186,3
2221212,1
1903168,1
4093690,1
4026230,1
5390797,1
41782433,2
41822113,2
55293062,3
2122694,1
2088824,1
20056759,2
3491469,1
3902138,1
4213447,1
4332718,1
5213784,1
25661247,2
15912704,2
3245138,1
3938320,1
4487557,1
2422383,1
2307897,1
15073663,2
15330381,2
29161112,3
9303674,1
9651558,1
10084373,1
7914332,1
12538391,1
17366654,2
17326207,2
5740413,1
2650251,1
2039682,1
2777102,1
14840091,2
15438141,2
29295201,3
29391740,3
46049390,4
1827773,1
2079049,1
2350924,1
3364883,1
3104375,1
3553829,1
23334559,2
1836260,1
2132235,1
2542757,1
2531762,1
3034580,1
2478002,1
2197725,1
30953986,3
2438215,1
2729227,1
3500783,1
3536919,1
20384460,2
52364043,4
1879898,1
2900393,1
2976725,1
2975490,1
3990324,1
1927271,1
15287050,2
2541749,1
2241858,1
2602047,1
3298657,1
3458148,1
15590651,2
28193907,3
1960797,1
14929405,2
5068195,1
6407251,1
7352923,1
2695891,1
63424941,5
2616318,1
2514683,1
2892563,1
16603845,2
16479805,2
29432148,3
27785893,3
1939795,1
1827736,1
2019258,1
2624611,1
14258636,2
141331889,7
17525398,2
37545639,3
1740244,1
31581019,3
2402392,1
2976799,1
3418118,1
1811755,1
14647904,2
28302482,3
1869088,1
2458688,1
2560271,1
2524141,1
98671272,6
19345464,2
1847661,1
1975480,1
2038676,1
2807091,1
2227731,1
2092193,1
3281073,1
49886801,4
4873865,1
3881397,1
2781686,1
3216056,1
3181295,1
3197941,1
22020428,2
2309080,1
2491493,1
3256806,1
2144803,1
14840611,2
35153289,3
14989330,2
2470296,1
3241740,1
4839935,1
4640991,1
4889345,1
15613547,2
28572284,3
1934122,1
31148590,3
3082850,1
5226948,1
3428196,1
5266837,1
7653653,1
2557452,1
2231254,1
2599632,1
2068549,1
15466063,2
15071368,2
28459079,3
2527718,1
2854185,1
18864177,2
2513924,1
3151636,1
2049523,1
14822662,2
15247169,2
16239281,2
30678332,3
14611429,2
2349119,1
2977444,1
4919502,1
5170017,1
5258445,1
2571918,1
17548271,2
16893307,2
16658415,2
2948586,1
2113741,1
18727218,2
18888117,2
29432363,3
38981908,3
3108101,1
24451585,2
24538946,2
20991593,2
2307338,1
2871431,1
2650451,1
3175173,1
15633403,2
5369015,1
14103695,2
64737418,5
1834259,1
3039949,1
2944823,1
3939763,1
3847360,1
4730385,1
2202787,1
3198137,1
3475446,1
2663353,1
24302855,2
2962571,1
3237874,1
14355441,2
3791569,1
4182470,1
5614075,1
3492591,1
6924467,1
15600900,2
2132722,1
16215269,2
2625398,1
4154027,1
5495864,1
16293856,2
17108621,2
2487486,1
1879691,1
2159681,1
2313671,1
2711462,1
4531703,1
4636044,1
13765975,2
2566116,1
2642029,1
2614198,1
16835208,2
2430170,1
3197877,1
3288906,1
14727969,2
28996458,3
29486300,3
2383091,1
33266758,3
2717277,1
2837200,1
15442457,2
15045891,2
15140526,2
19281839,2
48294729,4
24502762,2
3264119,1
3608380,1
4090485,1
15382502,2
2498489,1
18652234,2
18987568,2
35864042,3
4263928,1
14141647,2
15156505,2
14727950,2
2207845,1
3618369,1
4092622,1
4387427,1
4645681,1
2197834,1
18344088,2
2087968,1
2655026,1
3207741,1
3880525,1
4338225,1
4570168,1
2940023,1
29636047,3
10347520,1
6852909,1
2608173,1
2730751,1
16051857,2
32917614,3
2244516,1
17685671,2
2392397,1
2592157,1
2675189,1
2936129,1
3460504,1
18277750,2
3101011,1
2712792,1
2212157,1
2767843,1
2932500,1
21230230,2
21730730,2
14665358,2
2262547,1
1895923,1
2450859,1
2905090,1
3416360,1
30051845,3
18598618,2
19580045,2
1815230,1
2367247,1
3231631,1
3486939,1
4187641,1
14150110,2
43220535,4
33912803,3
2608572,1
3193367,1
14888195,2
3947929,1
2298423,1
2390901,1
29930473,3
2115752,1
2150630,1
2431161,1
17279755,2
27819883,3
28843649,3
27651986,3
1991298,1
14667395,2
15044121,2
2517741,1
1940852,1
2495648,1
2999600,1
28167401,3
14676436,2
46263989,4
1834774,1
3077797,1
2901192,1
2645189,1
4014686,1
2936183,1
3006472,1
2516107,1
15451277,2
3439390,1
2323077,1
3148012,1
5712009,1
6701927,1
39479159,3
2850311,1
15732246,2
15236001,2
2033879,1
29133062,3
14556921,2
3148479,1
3808026,1
4099506,1
4970813,1
28584966,3
2308356,1
2974241,1
1900616,1
1819878,1
2123470,1
2159107,1
2762077,1
3778699,1
15210562,2
3005947,1
14838487,2
29243560,3
6457099,1
5885451,1
7347577,1
15143560,2
2476197,1
14726058,2
16843758,2
2584891,1
2325794,1
15254927,2
2852721,1
3013607,1
3931042,1
14412130,2
14591810,2
2476204,1
1867862,1
1842332,1
1839958,1
2282542,1
2874978,1
3182314,1
34820096,3
1982317,1
3432749,1
3963219,1
1938873,1
17299642,2
18607459,2
35856478,3
2123523,1
4692026,1
5713859,1
5498110,1
21560084,2
42617894,3
43677997,3
2068710,1
2572479,1
2426435,1
3035118,1
4066215,1
4394950,1
2572265,1
1836598,1
14473348,2
2667353,1
16141570,2
2541010,1
18935611,2
36854899,3
37868411,3
5527982,1
15149010,2
14479871,2
2626175,1
2619248,1
4008708,1
106742422,6
24708309,2
52361340,4
23975437,2
2728240,1
3065047,1
14199433,2
15096552,2
15613209,2
1677463,1
14863630,2
2807060,1
2986507,1
3188968,1
14825333,2
14210749,2
14559823,2
14083520,2
43331387,4
27308497,3
14316883,2
3016296,1
3276918,1
3703547,1
2340443,1
2094425,1
2973108,1
3075882,1
16426852,2
16511141,2
47650512,4
2415299,1
2934803,1
14655441,2
14827041,2
1975143,1
2309426,1
5097227,1
4116063,1
4622036,1
27913339,3
69733840,5
1902595,1
2638864,1
22757855,2
22600335,2
36346528,3
34251719,3
3689208,1
3265389,1
3603765,1
2747541,1
3193413,1
17096119,2
32795742,3
2463454,1
16524675,2
3507312,1
2221061,1
16169378,2
16804464,2
17516493,2
2230253,1
2682037,1
2707695,1
3708132,1
4060986,1
4390455,1
2381614,1
15455433,2
2731033,1
3525202,1
3618668,1
3366270,1
3947803,1
14804953,2
2327994,1
2198824,1
2747114,1
2883293,1
14942932,2
30012698,3
2435183,1
3354740,1
3877878,1
3772565,1
2477114,1
31760874,3
31420207,3
32455577,3
14792690,2
2288857,1
17851638,2
3752010,1
4417839,1
4551501,1
4692211,1
4606736,1
16862918,2
14203324,2
43034099,4
14648316,2
3528973,1
4268496,1
5389180,1
18503970,2
38941103,3
44478947,4
2113827,1
3008551,1
15180423,2
15977090,2
18288649,2
38599399,3
2308948,1
2369750,1
2174067,1
2316957,1
2447342,1
2516214,1
16975346,2
2741428,1
3115463,1
3710917,1
1832211,1
15396825,2
15388953,2
2394004,1
2126137,1
2674940,1
3373209,1
15021738,2
15864446,2
16609149,2
36777915,3
1977496,1
3621206,1
4569048,1
3083735,1
2446575,1
2591663,1
2805072,1
14464178,2
32895923,3
15835732,2
1956215,1
2755748,1
2965736,1
15279030,2
14302027,2
15366549,2
2167114,1
1999450,1
2064431,1
1882816,1
2133506,1
3277115,1
3244444,1
4093840,1
4349060,1
17169139,2
2101483,1
2203307,1
1793162,1
35570944,3
3758634,1
4031734,1
2916132,1
15086126,2
15499272,2
15207730,2
31514646,3
2666415,1
2849586,1
2558521,1
2560142,1
14822570,2
56553675,4
2466621,1
3061819,1
2007324,1
38012492,3
29178978,3
2098745,1
2246883,1
2621262,1
70731147,5
2173253,1
3143533,1
4076073,1
4199393,1
5797900,1
1864201,1
61116900,4
43915634,3
3041181,1
4013956,1
4714634,1
2979781,1
15239868,2
15398555,2
32627412,3
2266497,1
2842592,1
4133372,1
4326716,1
4819475,1
14887181,2
2334938,1
2820459,1
3611407,1
3926098,1
2930091,1
15389844,2
2396301,1
21038585,2
2557441,1
2413638,1
33761785,3
2690245,1
3679067,1
2277294,1
2618643,1
2517027,1
14998932,2
3371199,1
3335975,1
4073402,1
2006065,1
14607097,2
29144802,3
19436092,2
2930881,1
3671812,1
22401912,2
50930967,4
3053549,1
4692067,1
5623564,1
15437462,2
2315383,1
2835756,1
3612758,1
37623982,3
2599557,1
16687282,2
2527253,1
2087125,1
3235180,1
16644293,2
2628809,1
2717296,1
18699779,2
18500905,2
2329210,1
2578555,1
4015286,1
3782253,1
4244752,1
3402650,1
15867482,2
2624024,1
2238653,1
14652615,2
2875436,1
16046339,2
2437242,1
2787259,1
15918172,2
3160902,1
2759976,1
3273476,1
2442171,1
15289289,2
2587016,1
2506882,1
17984092,2
14167137,2
16017574,2
15711940,2
2721737,1
14540958,2
15520910,2
2565116,1
2893144,1
15008091,2
68154763,5
2692472,1
2606194,1
3933608,1
5160663,1
34797874,3
2110130,1
2726986,1
35403256,3
2933045,1
3357315,1
3898510,1
3450140,1
28586000,3
2065484,1
23093065,2
2208762,1
3837849,1
4035049,1
3932567,1
4745467,1
5488750,1
17104415,2
15900634,2
15095457,2
2518152,1
3548832,1
17646236,2
3681119,1
3372026,1
4201464,1
4085251,1
6050823,1
2845803,1
16174442,2
33107005,3
2400705,1
2434379,1
2856283,1
2719663,1
3340359,1
2699494,1
14706712,2
3271009,1
19047554,2
19256055,2
20006092,2
38763794,3
2179802,1
2425642,1
2173489,1
2448006,1
2712595,1
2293666,1
2717808,1
14573333,2
70009774,5
44515131,4
62337062,5
1932373,1
2443771,1
1903646,1
14413849,2
49709402,4
3829678,1
4395925,1
4576191,1
16725641,2
17117970,2
16263720,2
17477819,2
18287171,2
2436425,1
2632519,1
3122580,1
4024163,1
20329252,2
35218860,3
2842801,1
4228782,1
4780842,1
19309704,2
2845993,1
4056804,1
2543307,1
19272459,2
44470497,4
2973302,1
2194908,1
2123675,1
2391274,1
15197983,2
15574561,2
51274699,4
2223029,1
30325083,3
2566235,1
3021047,1
3122299,1
3505740,1
21247369,2
5220943,1
5318893,1
2185389,1
18295800,2
2478126,1
1737290,1
2331314,1
3009251,1
2064993,1
29165810,3
2811773,1
2224275,1
34913657,3
2920179,1
