round,worker,backlog
1,1,3301
1,2,3301
1,3,3301
1,4,3301
1,5,3301
1,6,3301
1,7,3301
1,8,3301
2,1,6378
2,2,6549
2,3,6487
2,4,6507
2,5,6548
2,6,6526
2,7,6525
2,8,6512
3,1,9524
3,2,9777
3,3,9741
3,4,9709
3,5,9790
3,6,9681
3,7,9761
3,8,9688
4,1,12714
4,2,13019
4,3,12904
4,4,12869
4,5,12993
4,6,12898
4,7,12998
4,8,12923
5,1,15930
5,2,16201
5,3,16117
5,4,16050
5,5,16187
5,6,16151
5,7,16185
5,8,16160
6,1,19139
6,2,19444
6,3,19287
6,4,19277
6,5,19372
6,6,19251
6,7,19374
6,8,19326
7,1,22350
7,2,22596
7,3,22387
7,4,22417
7,5,22568
7,6,22391
7,7,22551
7,8,22499
8,1,25555
8,2,25735
8,3,25534
8,4,25617
8,5,25767
8,6,25470
8,7,25636
8,8,25635
9,1,28751
9,2,28873
9,3,28513
9,4,28751
9,5,28913
9,6,28542
9,7,28796
9,8,28737
10,1,31884
10,2,32008
10,3,31689
10,4,31911
10,5,31998
10,6,31700
10,7,32009
10,8,31691
11,1,34993
11,2,34938
11,3,34647
11,4,35015
11,5,35126
11,6,34534
11,7,35039
11,8,34701
12,1,37990
12,2,37919
12,3,37610
12,4,37875
12,5,38108
12,6,37437
12,7,38013
12,8,37325
13,1,40807
13,2,40845
13,3,39869
13,4,40518
13,5,41036
13,6,39833
13,7,40528
13,8,40154
14,1,43038
14,2,42686
14,3,41327
14,4,42394
14,5,42982
14,6,41903
14,7,42471
14,8,41977
15,1,43622
15,2,42696
15,3,40441
15,4,40865
15,5,43087
15,6,40898
15,7,42036
15,8,40785
16,1,40629
16,2,40327
16,3,37815
16,4,38870
16,5,40166
16,6,38238
16,7,39461
16,8,39071
17,1,39083
17,2,37443
17,3,36153
17,4,36843
17,5,36957
17,6,36156
17,7,36818
17,8,37417
18,1,36620
18,2,33462
18,3,33226
18,4,34767
18,5,33822
18,6,34308
18,7,34104
18,8,35605
19,1,34067
19,2,29794
19,3,30616
19,4,32181
19,5,31549
19,6,31668
19,7,30871
19,8,34344
20,1,31874
20,2,27665
20,3,28993
20,4,29849
20,5,29274
20,6,29185
20,7,28535
20,8,32080
21,1,30321
21,2,26035
21,3,26459
21,4,27525
21,5,27063
21,6,28375
21,7,26939
21,8,29335
22,1,26914
22,2,23568
22,3,24270
22,4,23938
22,5,23793
22,6,25556
22,7,25290
22,8,26721
23,1,24264
23,2,21778
23,3,21602
23,4,21730
23,5,21944
23,6,21021
23,7,22078
23,8,25457
24,1,22180
24,2,18958
24,3,18587
24,4,19037
24,5,20311
24,6,18925
24,7,19861
24,8,23952
25,1,20073
25,2,16186
25,3,14962
25,4,16959
25,5,17985
25,6,16001
25,7,17731
25,8,21797
26,1,18058
26,2,14610
26,3,11451
26,4,14205
26,5,15033
26,6,14205
26,7,15014
26,8,18926
27,1,16765
27,2,12665
27,3,7541
27,4,11831
27,5,13340
27,6,12284
27,7,13216
27,8,17362
28,1,14942
28,2,10764
28,3,4311
28,4,10193
28,5,11757
28,6,8872
28,7,10464
28,8,15868
29,1,12338
29,2,8793
29,3,3301
29,4,8487
29,5,9620
29,6,7136
29,7,7279
29,8,14459
30,1,10709
30,2,6162
30,3,3301
30,4,6275
30,5,8573
30,6,5263
30,7,4926
30,8,12399
31,1,8849
31,2,3301
31,3,3301
31,4,3301
31,5,6129
31,6,3576
31,7,3301
31,8,9398
32,1,6645
32,2,3301
32,3,3301
32,4,3301
32,5,3301
32,6,3301
32,7,3301
32,8,7379
33,1,4290
33,2,3301
33,3,3301
33,4,3301
33,5,3301
33,6,3301
33,7,3301
33,8,5446
34,1,3301
34,2,3301
34,3,3301
34,4,3301
34,5,3301
34,6,3301
34,7,3301
34,8,3982
35,1,3301
35,2,3301
35,3,3301
35,4,3301
35,5,3301
35,6,3301
35,7,3301
35,8,3301
36,1,3301
36,2,3301
36,3,3301
36,4,3301
36,5,3301
36,6,3301
36,7,3301
36,8,3301
37,1,3301
37,2,3301
37,3,3301
37,4,3301
37,5,3301
37,6,3301
37,7,3301
37,8,3301
38,1,3301
38,2,3301
38,3,3301
38,4,3301
38,5,3301
38,6,3301
38,7,3301
38,8,100